Row,Date,English Day,Hebrew Day,Limud,Chazarah
86,02/21/2024,Tue,יום ג׳,12a,10aTop
87,02/22/2024,Wed,יום ד׳,12a,10bBottom
88,02/23/2024,Thu,יום ה׳,12a,11bTop
89,02/24/2024,Fri,יום ו׳,12a,11aBottom
90,02/25/2024,Sat,שבת קדש,12a,11aTop
91,02/26/2024,Sun,יום א׳,12b,11bBottom
92,02/27/2024,Mon,יום ב׳,12b,12bTop
93,02/28/2024,Tue,יום ג׳,12b,2aTop
94,02/29/2024,Wed,יום ד׳,12b,2aBottom
95,03/01/2024,Thu,יום ה׳,12b,2bTop
96,03/02/2024,Fri,יום ו׳,12b,2bBottom
97,03/03/2024,Sat,שבת קדש,12b,3aTop
98,03/04/2024,Sun,יום א׳,13a,3aBottom
99,03/05/2024,Mon,יום ב׳,13a,3bTop
100,03/06/2024,Tue,יום ג׳,13a,3bBottom
101,03/07/2024,Wed,יום ד׳,13a,4aTop
102,03/08/2024,Thu,יום ה׳,13a,4aBottom
103,03/09/2024,Fri,יום ו׳,13a,4bTop
104,03/10/2024,Sat,שבת קדש,13a,4bBottom
105,03/11/2024,Sun,יום א׳,13b,5aTop
106,03/12/2024,Mon,יום ב׳,13b,5aBottom
107,03/13/2024,Tue,יום ג׳,13b,5bTop
108,03/14/2024,Wed,יום ד׳,13b,5bBottom
109,03/15/2024,Thu,יום ה׳,13b,6aTop
110,03/16/2024,Fri,יום ו׳,13b,6aBottom
111,03/17/2024,Sat,שבת קדש,13b,6bTop
112,03/18/2024,Sun,יום א׳,14a,6bBottom
113,03/19/2024,Mon,יום ב׳,14a,7aTop
114,03/20/2024,Tue,יום ג׳,14a,7aBottom
115,03/21/2024,Wed,יום ד׳,14a,7bTop
116,03/22/2024,Thu,יום ה׳,14a,7bBottom
117,03/23/2024,Fri,יום ו׳,14a,8bTop
118,03/24/2024,Sat,שבת קדש,14a,8aBottom
119,03/25/2024,Sun,יום א׳,14b,8aTop
120,03/26/2024,Mon,יום ב׳,14b,8bBottom
121,03/27/2024,Tue,יום ג׳,14b,9bTop
122,03/28/2024,Wed,יום ד׳,14b,9aBottom
123,03/29/2024,Thu,יום ה׳,14b,9aTop
124,03/30/2024,Fri,יום ו׳,14b,9bBottom
125,03/31/2024,Sat,שבת קדש,14b,10bTop
126,04/01/2024,Sun,יום א׳,15a,10aBottom
127,04/02/2024,Mon,יום ב׳,15a,10aTop
128,04/03/2024,Tue,יום ג׳,15a,10bBottom
129,04/04/2024,Wed,יום ד׳,15a,11bTop
130,04/05/2024,Thu,יום ה׳,15a,11aBottom
131,04/06/2024,Fri,יום ו׳,15a,11aTop
132,04/07/2024,Sat,שבת קדש,15a,11bBottom
133,04/08/2024,Sun,יום א׳,15b,12bTop
134,04/09/2024,Mon,יום ב׳,15b,12aBottom
135,04/10/2024,Tue,יום ג׳,15b,12aTop
136,04/11/2024,Wed,יום ד׳,15b,12bBottom
137,04/12/2024,Thu,יום ה׳,15b,13bTop
138,04/13/2024,Fri,יום ו׳,15b,13aBottom
139,04/14/2024,Sat,שבת קדש,15b,13aTop
140,04/15/2024,Sun,יום א׳,16a,13bBottom
141,04/16/2024,Mon,יום ב׳,16a,14aTop
142,04/17/2024,Tue,יום ג׳,16a,14aBottom
143,04/18/2024,Wed,יום ד׳,16a,14bTop
144,04/19/2024,Thu,יום ה׳,16a,14bBottom
145,04/20/2024,Fri,יום ו׳,16a,15aTop
146,04/21/2024,Sat,שבת קדש,16a,15aBottom
147,04/22/2024,Sun,יום א׳,16b,15bTop
148,04/23/2024,Mon,יום ב׳,16b,15bBottom
149,04/24/2024,Tue,יום ג׳,16b,16aTop
150,04/25/2024,Wed,יום ד׳,16b,16aBottom
151,04/26/2024,Thu,יום ה׳,16b,16bTop
152,04/27/2024,Fri,יום ו׳,16b,2aTop
153,04/28/2024,Sat,שבת קדש,16b,2aBottom
154,04/29/2024,Sun,יום א׳,17a,2bTop
155,04/30/2024,Mon,יום ב׳,17a,2bBottom
156,05/01/2024,Tue,יום ג׳,17a,3aTop
157,05/02/2024,Wed,יום ד׳,17a,3aBottom
158,05/03/2024,Thu,יום ה׳,17a,3bTop
159,05/04/2024,Fri,יום ו׳,17a,3bBottom
160,05/05/2024,Sat,שבת קדש,17a,4aTop
161,05/06/2024,Sun,יום א׳,17b,4aBottom
162,05/07/2024,Mon,יום ב׳,17b,4bTop
163,05/08/2024,Tue,יום ג׳,17b,4bBottom
164,05/09/2024,Wed,יום ד׳,17b,5aTop
165,05/10/2024,Thu,יום ה׳,17b,5aBottom
166,05/11/2024,Fri,יום ו׳,17b,5bTop
167,05/12/2024,Sat,שבת קדש,17b,5bBottom
168,05/13/2024,Sun,יום א׳,18a,6aTop
169,05/14/2024,Mon,יום ב׳,18a,6aBottom
170,05/15/2024,Tue,יום ג׳,18a,6bTop
171,05/16/2024,Wed,יום ד׳,18a,6bBottom
172,05/17/2024,Thu,יום ה׳,18a,7aTop
173,05/18/2024,Fri,יום ו׳,18a,7aBottom
174,05/19/2024,Sat,שבת קדש,18a,7bTop
175,05/20/2024,Sun,יום א׳,18b,7bBottom
176,05/21/2024,Mon,יום ב׳,18b,8bTop
177,05/22/2024,Tue,יום ג׳,18b,8aBottom
178,05/23/2024,Wed,יום ד׳,18b,8aTop
179,05/24/2024,Thu,יום ה׳,18b,8bBottom
180,05/25/2024,Fri,יום ו׳,18b,9bTop
181,05/26/2024,Sat,שבת קדש,18b,9aBottom
182,05/27/2024,Sun,יום א׳,19a,9aTop
183,05/28/2024,Mon,יום ב׳,19a,9bBottom
184,05/29/2024,Tue,יום ג׳,19a,10bTop
185,05/30/2024,Wed,יום ד׳,19a,10aBottom
186,05/31/2024,Thu,יום ה׳,19a,10aTop
187,06/01/2024,Fri,יום ו׳,19a,10bBottom
188,06/02/2024,Sat,שבת קדש,19a,11bTop
189,06/03/2024,Sun,יום א׳,19b,11aBottom
190,06/04/2024,Mon,יום ב׳,19b,11aTop
191,06/05/2024,Tue,יום ג׳,19b,11bBottom
192,06/06/2024,Wed,יום ד׳,19b,12bTop
193,06/07/2024,Thu,יום ה׳,19b,12aBottom
194,06/08/2024,Fri,יום ו׳,19b,12aTop
195,06/09/2024,Sat,שבת קדש,19b,12bBottom
196,06/10/2024,Sun,יום א׳,20a,13bTop
197,06/11/2024,Mon,יום ב׳,20a,13aBottom
198,06/12/2024,Tue,יום ג׳,20a,13aTop
199,06/13/2024,Wed,יום ד׳,20a,13bBottom
200,06/14/2024,Thu,יום ה׳,20a,14aTop
201,06/15/2024,Fri,יום ו׳,20a,14aBottom
202,06/16/2024,Sat,שבת קדש,20a,14bTop
203,06/17/2024,Sun,יום א׳,20b,14bBottom
204,06/18/2024,Mon,יום ב׳,20b,15aTop
205,06/19/2024,Tue,יום ג׳,20b,15aBottom
206,06/20/2024,Wed,יום ד׳,20b,15bTop
207,06/21/2024,Thu,יום ה׳,20b,15bBottom
208,06/22/2024,Fri,יום ו׳,20b,16aTop
209,06/23/2024,Sat,שבת קדש,20b,16aBottom
210,06/24/2024,Sun,יום א׳,21a,16bTop
211,06/25/2024,Mon,יום ב׳,21a,16bBottom
212,06/26/2024,Tue,יום ג׳,21a,17aTop
213,06/27/2024,Wed,יום ד׳,21a,17aBottom
214,06/28/2024,Thu,יום ה׳,21a,17bTop
215,06/29/2024,Fri,יום ו׳,21a,17bBottom
216,06/30/2024,Sat,שבת קדש,21a,18aTop
217,07/01/2024,Sun,יום א׳,21b,18aBottom
218,07/02/2024,Mon,יום ב׳,21b,18bTop
219,07/03/2024,Tue,יום ג׳,21b,18bBottom
220,07/04/2024,Wed,יום ד׳,21b,19aTop
221,07/05/2024,Thu,יום ה׳,21b,19aBottom
222,07/06/2024,Fri,יום ו׳,21b,19bTop
223,07/07/2024,Sat,שבת קדש,21b,19bBottom
224,07/08/2024,Sun,יום א׳,22a,20aTop
225,07/09/2024,Mon,יום ב׳,22a,20aBottom
226,07/10/2024,Tue,יום ג׳,22a,20bTop
227,07/11/2024,Wed,יום ד׳,22a,20bBottom
228,07/12/2024,Thu,יום ה׳,22a,21aTop
229,07/13/2024,Fri,יום ו׳,22a,21bBottom
230,07/14/2024,Sat,שבת קדש,22a,21bTop
231,07/15/2024,Sun,יום א׳,22b,21aBottom
232,07/16/2024,Mon,יום ב׳,22b,22aTop
233,07/17/2024,Tue,יום ג׳,22b,22bBottom
234,07/18/2024,Wed,יום ד׳,22b,2aTop
235,07/19/2024,Thu,יום ה׳,22b,2aBottom
236,07/20/2024,Fri,יום ו׳,22b,2bTop
237,07/21/2024,Sat,שבת קדש,22b,2bBottom
238,07/22/2024,Sun,יום א׳,23a,3aTop
239,07/23/2024,Mon,יום ב׳,23a,3aBottom
240,07/24/2024,Tue,יום ג׳,23a,3bTop
241,07/25/2024,Wed,יום ד׳,23a,3bBottom
242,07/26/2024,Thu,יום ה׳,23a,4aTop
243,07/27/2024,Fri,יום ו׳,23a,4aBottom
244,07/28/2024,Sat,שבת קדש,23a,4bTop
245,07/29/2024,Sun,יום א׳,23b,4bBottom
246,07/30/2024,Mon,יום ב׳,23b,5aTop
247,07/31/2024,Tue,יום ג׳,23b,5aBottom
248,08/01/2024,Wed,יום ד׳,23b,5bTop
249,08/02/2024,Thu,יום ה׳,23b,5bBottom
250,08/03/2024,Fri,יום ו׳,23b,6aTop
251,08/04/2024,Sat,שבת קדש,23b,6aBottom
252,08/05/2024,Sun,יום א׳,24a,6bTop
253,08/06/2024,Mon,יום ב׳,24a,6bBottom
254,08/07/2024,Tue,יום ג׳,24a,7aTop
255,08/08/2024,Wed,יום ד׳,24a,7aBottom
256,08/09/2024,Thu,יום ה׳,24a,7bTop
257,08/10/2024,Fri,יום ו׳,24a,7bBottom
258,08/11/2024,Sat,שבת קדש,24a,8bTop
259,08/12/2024,Sun,יום א׳,24b,8aBottom
260,08/13/2024,Mon,יום ב׳,24b,8aTop
261,08/14/2024,Tue,יום ג׳,24b,8bBottom
262,08/15/2024,Wed,יום ד׳,24b,9bTop
263,08/16/2024,Thu,יום ה׳,24b,9aBottom
264,08/17/2024,Fri,יום ו׳,24b,9aTop
265,08/18/2024,Sat,שבת קדש,24b,9bBottom
266,08/19/2024,Sun,יום א׳,25a,10bTop
267,08/20/2024,Mon,יום ב׳,25a,10aBottom
268,08/21/2024,Tue,יום ג׳,25a,10aTop
269,08/22/2024,Wed,יום ד׳,25a,10bBottom
270,08/23/2024,Thu,יום ה׳,25a,11bTop
271,08/24/2024,Fri,יום ו׳,25a,11aBottom
272,08/25/2024,Sat,שבת קדש,25a,11aTop
273,08/26/2024,Sun,יום א׳,25b,11bBottom
274,08/27/2024,Mon,יום ב׳,25b,12bTop
275,08/28/2024,Tue,יום ג׳,25b,12aBottom
276,08/29/2024,Wed,יום ד׳,25b,12aTop
277,08/30/2024,Thu,יום ה׳,25b,12bBottom
278,08/31/2024,Fri,יום ו׳,25b,13bTop
279,09/01/2024,Sat,שבת קדש,25b,13aBottom
280,09/02/2024,Sun,יום א׳,26a,13aTop
281,09/03/2024,Mon,יום ב׳,26a,13bBottom
282,09/04/2024,Tue,יום ג׳,26a,14aTop
283,09/05/2024,Wed,יום ד׳,26a,14aBottom
284,09/06/2024,Thu,יום ה׳,26a,14bTop
285,09/07/2024,Fri,יום ו׳,26a,14bBottom
286,09/08/2024,Sat,שבת קדש,26a,15aTop
287,09/09/2024,Sun,יום א׳,26b,15aBottom
288,09/10/2024,Mon,יום ב׳,26b,15bTop
289,09/11/2024,Tue,יום ג׳,26b,15bBottom
290,09/12/2024,Wed,יום ד׳,26b,16aTop
291,09/13/2024,Thu,יום ה׳,26b,16aBottom
292,09/14/2024,Fri,יום ו׳,26b,16bTop
293,09/15/2024,Sat,שבת קדש,26b,16bBottom
294,09/16/2024,Sun,יום א׳,27a,17aTop
295,09/17/2024,Mon,יום ב׳,27a,17aBottom
296,09/18/2024,Tue,יום ג׳,27a,17bTop
297,09/19/2024,Wed,יום ד׳,27a,17bBottom
298,09/20/2024,Thu,יום ה׳,27a,18aTop
299,09/21/2024,Fri,יום ו׳,27a,18aBottom
300,09/22/2024,Sat,שבת קדש,27a,18bTop
301,09/23/2024,Sun,יום א׳,27b,18bBottom
302,09/24/2024,Mon,יום ב׳,27b,19aTop
303,09/25/2024,Tue,יום ג׳,27b,19aBottom
304,09/26/2024,Wed,יום ד׳,27b,19bTop
305,09/27/2024,Thu,יום ה׳,27b,19bBottom
306,09/28/2024,Fri,יום ו׳,27b,20aTop
307,09/29/2024,Sat,שבת קדש,27b,20aBottom
308,09/30/2024,Sun,יום א׳,28a,20bTop
309,10/01/2024,Mon,יום ב׳,28a,20bBottom
310,10/02/2024,Tue,יום ג׳,28a,21aTop
311,10/03/2024,Wed,יום ד׳,28a,21bBottom
312,10/04/2024,Thu,יום ה׳,28a,21bTop
313,10/05/2024,Fri,יום ו׳,28a,21aBottom
314,10/06/2024,Sat,שבת קדש,28a,22aTop
315,10/07/2024,Sun,יום א׳,28b,22bBottom
316,10/08/2024,Mon,יום ב׳,28b,22bTop
317,10/09/2024,Tue,יום ג׳,28b,22aBottom
318,10/10/2024,Wed,יום ד׳,28b,23aTop
319,10/11/2024,Thu,יום ה׳,28b,23bBottom
320,10/12/2024,Fri,יום ו׳,28b,23bTop
321,10/13/2024,Sat,שבת קדש,28b,23aBottom
322,10/14/2024,Sun,יום א׳,29a,24aTop
323,10/15/2024,Mon,יום ב׳,29a,24bBottom
324,10/16/2024,Tue,יום ג׳,29a,24bTop
325,10/17/2024,Wed,יום ד׳,29a,24aBottom
326,10/18/2024,Thu,יום ה׳,29a,25aTop
327,10/19/2024,Fri,יום ו׳,29a,25bBottom
328,10/20/2024,Sat,שבת קדש,29a,25bTop
329,10/21/2024,Sun,יום א׳,29b,25aBottom
330,10/22/2024,Mon,יום ב׳,29b,26aTop
331,10/23/2024,Tue,יום ג׳,29b,26bBottom
332,10/24/2024,Wed,יום ד׳,29b,26bTop
333,10/25/2024,Thu,יום ה׳,29b,26aBottom
334,10/26/2024,Fri,יום ו׳,29b,27aTop
335,10/27/2024,Sat,שבת קדש,29b,27bBottom
336,10/28/2024,Sun,יום א׳,30a,27bTop
337,10/29/2024,Mon,יום ב׳,30a,27aBottom
338,10/30/2024,Tue,יום ג׳,30a,28aTop
339,10/31/2024,Wed,יום ד׳,30a,28bBottom
340,11/01/2024,Thu,יום ה׳,30a,28bTop
341,11/02/2024,Fri,יום ו׳,30a,28aBottom
342,11/03/2024,Sat,שבת קדש,30a,29aTop
343,11/04/2024,Sun,יום א׳,30b,29bBottom
344,11/05/2024,Mon,יום ב׳,30b,29bTop
345,11/06/2024,Tue,יום ג׳,30b,29aBottom
346,11/07/2024,Wed,יום ד׳,30b,30aTop
347,11/08/2024,Thu,יום ה׳,30b,30bBottom
348,11/09/2024,Fri,יום ו׳,30b,2aTop
349,11/10/2024,Sat,שבת קדש,30b,2aBottom
350,11/11/2024,Sun,יום א׳,31a,2bTop
351,11/12/2024,Mon,יום ב׳,31a,2bBottom
352,11/13/2024,Tue,יום ג׳,31a,3aTop
353,11/14/2024,Wed,יום ד׳,31a,3aBottom
354,11/15/2024,Thu,יום ה׳,31a,3bTop
355,11/16/2024,Fri,יום ו׳,31a,3bBottom
356,11/17/2024,Sat,שבת קדש,31a,4aTop
357,11/18/2024,Sun,יום א׳,31b,4aBottom
358,11/19/2024,Mon,יום ב׳,31b,4bTop
359,11/20/2024,Tue,יום ג׳,31b,4bBottom
360,11/21/2024,Wed,יום ד׳,31b,5aTop
361,11/22/2024,Thu,יום ה׳,31b,5aBottom
362,11/23/2024,Fri,יום ו׳,31b,5bTop
363,11/24/2024,Sat,שבת קדש,31b,5bBottom
364,11/25/2024,Sun,יום א׳,32a,6aTop
